Date,BidAsk,Vol,Open,High,Low,Close
2022-09-19 11:18:00,34,256,3899.25,3899.5,3899.25,3899.5
2022-09-19 11:18:02,-9,137,3899.25,3899.25,3899.25,3899.25
2022-09-19 11:18:04,49,122,3899.25,3899.5,3899.25,3899.5
2022-09-19 11:18:06,221,437,3899.75,3900.75,3899.75,3900.75
2022-09-19 11:18:08,100,517,3901.25,3901.75,3901.25,3901.75
2022-09-19 11:18:10,40,395,3901.25,3901.5,3901.25,3901.5
2022-09-19 11:18:12,-29,179,3901.5,3901.5,3901.5,3901.5
2022-09-19 11:18:14,246,927,3902.75,3902.75,3902.5,3902.5
2022-09-19 11:18:16,-105,511,3902.5,3902.5,3902.5,3902.5
2022-09-19 11:18:18,21,330,3901.5,3902.25,3901.5,3902.25
2022-09-19 11:18:20,6,394,3902.25,3902.25,3902.25,3902.25
2022-09-19 11:18:22,7,251,3902.5,3902.5,3902.25,3902.25
2022-09-19 11:18:24,-34,254,3902.5,3902.5,3902.25,3902.25
2022-09-19 11:18:26,11,299,3901.75,3902.25,3901.75,3902.25
2022-09-19 11:18:28,0,87,3902.0,3902.0,3902.0,3902.0
2022-09-19 11:18:30,-57,191,3902.25,3902.25,3902.0,3902.0
2022-09-19 11:18:32,-26,105,3902.0,3902.0,3901.5,3901.5
2022-09-19 11:18:34,1,101,3901.5,3901.5,3901.5,3901.5
2022-09-19 11:18:36,-8,54,3901.5,3901.5,3901.5,3901.5
2022-09-19 11:18:38,-22,332,3901.5,3901.5,3901.25,3901.25
2022-09-19 11:18:40,-30,317,3900.75,3900.75,3900.5,3900.5
2022-09-19 11:18:42,-52,355,3900.25,3900.25,3900.25,3900.25
2022-09-19 11:18:44,-122,505,3900.0,3900.0,3899.25,3899.25
2022-09-19 11:18:46,7,128,3899.0,3899.0,3898.75,3898.75
2022-09-19 11:18:48,-3,172,3898.75,3899.0,3898.75,3899.0
2022-09-19 11:18:50,16,86,3899.0,3899.25,3899.0,3899.25
2022-09-19 11:18:52,-30,175,3899.0,3899.0,3899.0,3899.0
2022-09-19 11:18:54,12,57,3898.75,3898.75,3898.75,3898.75
2022-09-19 11:18:56,-14,26,3899.0,3899.0,3898.75,3898.75
2022-09-19 11:18:58,-35,375,3898.5,3898.5,3898.5,3898.5
2022-09-19 11:19:00,-53,211,3898.0,3898.0,3897.75,3897.75
2022-09-19 11:19:02,4,377,3898.25,3898.5,3898.25,3898.5
2022-09-19 11:19:04,42,107,3898.5,3898.5,3898.5,3898.5
2022-09-19 11:19:06,-7,38,3898.5,3898.5,3898.5,3898.5
2022-09-19 11:19:08,-37,554,3898.25,3898.25,3898.25,3898.25
2022-09-19 11:19:10,-5,356,3898.25,3898.25,3898.0,3898.0
2022-09-19 11:19:12,-56,95,3897.75,3897.75,3897.75,3897.75
2022-09-19 11:19:14,-10,133,3897.25,3897.25,3897.25,3897.25
2022-09-19 11:19:16,-23,117,3897.25,3897.25,3897.0,3897.0
2022-09-19 11:19:18,1,55,3897.0,3897.0,3897.0,3897.0
2022-09-19 11:19:20,2,86,3897.0,3897.0,3896.75,3896.75
2022-09-19 11:19:22,0,111,3897.0,3897.0,3896.75,3896.75
2022-09-19 11:19:24,1,81,3896.75,3897.0,3896.75,3897.0
2022-09-19 11:19:26,-120,335,3897.0,3897.0,3896.5,3896.5
2022-09-19 11:19:28,-3,106,3896.5,3896.5,3896.25,3896.25
2022-09-19 11:19:30,-24,127,3896.25,3896.25,3896.25,3896.25
2022-09-19 11:19:32,3,123,3896.25,3896.25,3896.25,3896.25
2022-09-19 11:19:34,-5,92,3896.0,3896.0,3896.0,3896.0
2022-09-19 11:19:36,-33,139,3896.0,3896.0,3895.75,3895.75
2022-09-19 11:19:38,-11,69,3895.75,3895.75,3895.75,3895.75
2022-09-19 11:19:40,22,154,3895.5,3896.25,3895.5,3896.25
2022-09-19 11:19:42,-2,115,3896.25,3896.25,3896.0,3896.0
2022-09-19 11:19:44,-2,48,3896.0,3896.25,3896.0,3896.25
2022-09-19 11:19:46,40,316,3896.25,3896.5,3896.25,3896.5
2022-09-19 11:19:48,-3,116,3896.75,3896.75,3896.75,3896.75
2022-09-19 11:19:50,-16,390,3896.25,3896.5,3896.25,3896.5
2022-09-19 11:19:52,-35,126,3896.0,3896.25,3896.0,3896.25
2022-09-19 11:19:54,6,171,3896.0,3896.0,3895.75,3895.75
2022-09-19 11:19:56,5,21,3895.75,3895.75,3895.75,3895.75
2022-09-19 11:19:58,-11,96,3895.75,3895.75,3895.75,3895.75
2022-09-19 11:20:00,-29,214,3896.0,3896.0,3895.75,3895.75
2022-09-19 11:20:02,4,115,3895.5,3895.5,3895.5,3895.5
2022-09-19 11:20:04,19,81,3896.25,3896.25,3896.0,3896.0
2022-09-19 11:20:06,25,216,3896.0,3896.0,3896.0,3896.0
2022-09-19 11:20:08,-108,553,3896.0,3896.0,3896.0,3896.0
2022-09-19 11:20:10,-29,133,3895.0,3895.25,3895.0,3895.25
2022-09-19 11:20:12,-31,132,3895.25,3895.25,3895.25,3895.25
2022-09-19 11:20:14,9,110,3895.0,3895.0,3895.0,3895.0
2022-09-19 11:20:16,-51,81,3894.75,3894.75,3894.75,3894.75
2022-09-19 11:20:18,21,139,3894.75,3895.0,3894.75,3895.0
2022-09-19 11:20:20,-15,70,3894.75,3895.0,3894.75,3895.0
2022-09-19 11:20:22,6,78,3894.75,3895.0,3894.75,3895.0
2022-09-19 11:20:24,46,138,3895.25,3895.25,3895.25,3895.25
2022-09-19 11:20:26,-2,42,3895.0,3895.0,3895.0,3895.0
2022-09-19 11:20:28,-27,46,3895.0,3895.0,3895.0,3895.0
2022-09-19 11:20:30,-1,118,3895.0,3895.0,3894.75,3894.75
2022-09-19 11:20:32,0,32,3894.75,3894.75,3894.75,3894.75
2022-09-19 11:20:34,60,412,3895.75,3895.75,3895.5,3895.5
2022-09-19 11:20:36,-64,106,3894.75,3894.75,3894.25,3894.25
2022-09-19 11:20:38,-85,516,3894.25,3894.25,3894.0,3894.0
2022-09-19 11:20:40,24,167,3894.0,3894.0,3894.0,3894.0
2022-09-19 11:20:42,-13,80,3893.75,3893.75,3893.75,3893.75
2022-09-19 11:20:44,-6,106,3893.5,3893.5,3893.5,3893.5
2022-09-19 11:20:46,-24,144,3893.25,3893.25,3893.25,3893.25
2022-09-19 11:20:48,-5,198,3893.5,3893.75,3893.5,3893.75
2022-09-19 11:20:50,-59,212,3893.75,3893.75,3893.75,3893.75
2022-09-19 11:20:52,37,434,3893.75,3893.75,3893.75,3893.75
2022-09-19 11:20:54,17,103,3894.0,3894.0,3894.0,3894.0
2022-09-19 11:20:56,1,45,3893.75,3893.75,3893.5,3893.5
2022-09-19 11:20:58,-15,142,3893.75,3893.75,3893.5,3893.5
2022-09-19 11:21:00,1,145,3893.75,3893.75,3893.5,3893.5
2022-09-19 11:21:02,-20,71,3893.5,3893.5,3893.25,3893.25
2022-09-19 11:21:04,-102,399,3893.5,3893.5,3893.25,3893.25
2022-09-19 11:21:06,-6,306,3893.0,3893.0,3893.0,3893.0
2022-09-19 11:21:08,-33,194,3892.75,3892.75,3892.5,3892.5
2022-09-19 11:21:10,-97,449,3892.25,3892.25,3891.75,3891.75
2022-09-19 11:21:12,-1,123,3891.75,3892.0,3891.75,3892.0
2022-09-19 11:21:14,-15,98,3891.75,3891.75,3891.75,3891.75
2022-09-19 11:21:16,16,225,3891.5,3891.75,3891.5,3891.75
2022-09-19 11:21:18,-101,216,3891.75,3891.75,3891.5,3891.5
2022-09-19 11:21:20,-28,271,3891.5,3891.5,3891.25,3891.25
2022-09-19 11:21:22,21,136,3891.75,3891.75,3891.75,3891.75
2022-09-19 11:21:24,26,130,3891.5,3891.5,3891.5,3891.5
2022-09-19 11:21:26,-22,623,3891.5,3891.5,3891.5,3891.5
2022-09-19 11:21:28,-22,142,3891.25,3891.25,3891.25,3891.25
2022-09-19 11:21:30,17,320,3891.5,3891.75,3891.5,3891.75
2022-09-19 11:21:32,58,195,3891.75,3891.75,3891.5,3891.5
2022-09-19 11:21:34,-30,138,3891.5,3891.5,3891.5,3891.5
2022-09-19 11:21:36,-11,178,3891.5,3891.5,3891.5,3891.5
2022-09-19 11:21:38,-21,296,3891.25,3891.25,3891.0,3891.0
2022-09-19 11:21:40,4,163,3891.25,3891.5,3891.25,3891.5
2022-09-19 11:21:42,2,46,3891.25,3891.25,3891.25,3891.25
2022-09-19 11:21:44,-46,154,3891.0,3891.25,3891.0,3891.25
2022-09-19 11:21:46,25,276,3891.0,3891.0,3891.0,3891.0
2022-09-19 11:21:48,-13,307,3891.0,3891.25,3891.0,3891.25
2022-09-19 11:21:50,5,231,3891.5,3891.5,3891.5,3891.5
2022-09-19 11:21:52,-112,340,3891.25,3891.25,3891.25,3891.25
2022-09-19 11:21:54,-72,341,3891.0,3891.0,3890.75,3890.75
2022-09-19 11:21:56,-83,111,3891.0,3891.0,3890.5,3890.5
2022-09-19 11:21:58,35,239,3891.0,3891.0,3891.0,3891.0
2022-09-19 11:22:00,-40,173,3891.0,3891.0,3891.0,3891.0
2022-09-19 11:22:02,-42,398,3891.25,3891.5,3891.25,3891.5
2022-09-19 11:22:04,63,268,3891.5,3891.5,3891.5,3891.5
2022-09-19 11:22:06,-3,110,3891.75,3891.75,3891.75,3891.75
2022-09-19 11:22:08,21,198,3891.75,3892.0,3891.75,3892.0
2022-09-19 11:22:10,98,407,3892.5,3892.75,3892.5,3892.75
2022-09-19 11:22:12,-20,140,3892.25,3892.25,3892.25,3892.25
2022-09-19 11:22:14,19,139,3892.25,3892.25,3892.0,3892.0
2022-09-19 11:22:16,-13,255,3892.25,3892.25,3892.25,3892.25
2022-09-19 11:22:18,18,60,3892.0,3892.0,3892.0,3892.0
2022-09-19 11:22:20,214,394,3892.75,3892.75,3892.5,3892.5
2022-09-19 11:22:22,-13,58,3892.5,3892.5,3892.5,3892.5
2022-09-19 11:22:24,-73,322,3892.25,3892.25,3892.25,3892.25
2022-09-19 11:22:26,-45,234,3892.5,3892.5,3892.5,3892.5
2022-09-19 11:22:28,1,92,3892.5,3892.5,3892.25,3892.25
2022-09-19 11:22:30,-40,127,3892.0,3892.0,3891.5,3891.5
2022-09-19 11:22:32,-2,45,3892.0,3892.0,3892.0,3892.0
2022-09-19 11:22:34,17,70,3892.0,3892.0,3892.0,3892.0
2022-09-19 11:22:36,-15,19,3891.75,3891.75,3891.75,3891.75
2022-09-19 11:22:38,5,75,3891.75,3892.0,3891.75,3892.0
2022-09-19 11:22:40,15,104,3892.0,3892.25,3892.0,3892.25
2022-09-19 11:22:42,-18,65,3892.0,3892.25,3892.0,3892.25
2022-09-19 11:22:44,5,97,3891.75,3892.0,3891.75,3892.0
2022-09-19 11:22:46,-8,33,3892.0,3892.0,3892.0,3892.0
2022-09-19 11:22:48,-2,62,3891.75,3892.0,3891.75,3892.0
2022-09-19 11:22:50,-43,111,3892.25,3892.25,3892.25,3892.25
2022-09-19 11:22:52,36,223,3892.25,3892.25,3892.25,3892.25
2022-09-19 11:22:54,-39,149,3892.25,3892.5,3892.25,3892.5
2022-09-19 11:22:56,-41,102,3892.25,3892.25,3892.25,3892.25
2022-09-19 11:22:58,156,505,3892.75,3893.75,3892.75,3893.75
2022-09-19 11:23:00,1,102,3893.5,3893.5,3893.0,3893.0
2022-09-19 11:23:02,-58,82,3892.75,3892.75,3892.25,3892.25
2022-09-19 11:23:04,41,223,3892.25,3892.25,3892.0,3892.0
2022-09-19 11:23:06,-40,118,3892.25,3892.25,3892.25,3892.25
2022-09-19 11:23:08,-20,75,3892.0,3892.0,3892.0,3892.0
2022-09-19 11:23:10,-25,141,3892.0,3892.0,3891.75,3891.75
2022-09-19 11:23:12,-98,163,3891.5,3891.5,3891.25,3891.25
2022-09-19 11:23:14,-37,132,3891.5,3891.5,3891.5,3891.5
2022-09-19 11:23:16,-51,222,3891.25,3891.25,3891.25,3891.25
2022-09-19 11:23:18,1,89,3891.0,3891.0,3891.0,3891.0
2022-09-19 11:23:20,-4,77,3891.25,3891.25,3891.0,3891.0
2022-09-19 11:23:22,-12,79,3891.25,3891.25,3891.25,3891.25
2022-09-19 11:23:24,-11,72,3891.0,3891.0,3891.0,3891.0
2022-09-19 11:23:26,-40,164,3891.0,3891.25,3891.0,3891.25
2022-09-19 11:23:28,19,93,3891.25,3891.25,3891.25,3891.25
2022-09-19 11:23:30,-26,90,3891.25,3891.25,3891.25,3891.25
2022-09-19 11:23:32,8,75,3891.25,3891.25,3891.0,3891.0
2022-09-19 11:23:34,14,98,3891.25,3891.25,3891.25,3891.25
2022-09-19 11:23:36,-14,61,3891.25,3891.5,3891.25,3891.5
2022-09-19 11:23:38,64,319,3892.25,3892.75,3892.25,3892.75
2022-09-19 11:23:40,19,312,3893.25,3893.5,3893.25,3893.5
2022-09-19 11:23:42,-4,63,3893.0,3893.0,3892.75,3892.75
2022-09-19 11:23:44,0,68,3892.5,3892.5,3892.5,3892.5
2022-09-19 11:23:46,9,55,3892.75,3893.0,3892.75,3893.0
2022-09-19 11:23:48,-9,97,3893.25,3893.25,3893.0,3893.0
2022-09-19 11:23:50,-10,67,3893.0,3893.0,3892.75,3892.75
2022-09-19 11:23:52,32,144,3892.5,3892.75,3892.5,3892.75
2022-09-19 11:23:54,10,111,3892.5,3892.75,3892.5,3892.75
2022-09-19 11:23:56,1,18,3892.75,3892.75,3892.75,3892.75
2022-09-19 11:23:58,7,74,3893.0,3893.0,3893.0,3893.0
2022-09-19 11:24:00,-33,269,3893.5,3893.5,3893.25,3893.25
2022-09-19 11:24:02,6,44,3893.5,3893.5,3893.5,3893.5
2022-09-19 11:24:04,5,136,3893.5,3893.5,3893.5,3893.5
2022-09-19 11:24:06,6,123,3893.75,3894.0,3893.75,3894.0
2022-09-19 11:24:08,-32,177,3893.5,3893.5,3893.25,3893.25
2022-09-19 11:24:10,-47,179,3893.0,3893.0,3892.75,3892.75
2022-09-19 11:24:12,-12,47,3892.25,3892.25,3892.25,3892.25
2022-09-19 11:24:14,43,368,3892.25,3892.5,3892.25,3892.5
2022-09-19 11:24:16,-17,360,3892.75,3893.0,3892.75,3893.0
2022-09-19 11:24:18,17,38,3892.75,3892.75,3892.75,3892.75
2022-09-19 11:24:20,-19,112,3892.5,3892.75,3892.5,3892.75
2022-09-19 11:24:22,-1,99,3893.0,3893.0,3892.75,3892.75
2022-09-19 11:24:24,-87,211,3892.75,3892.75,3892.0,3892.0
2022-09-19 11:24:26,-14,58,3892.0,3892.0,3892.0,3892.0
2022-09-19 11:24:28,-18,220,3891.75,3891.75,3891.25,3891.25
2022-09-19 11:24:30,-33,119,3891.0,3891.0,3891.0,3891.0
2022-09-19 11:24:32,-18,141,3890.75,3890.75,3890.5,3890.5
2022-09-19 11:24:34,10,152,3891.0,3891.0,3891.0,3891.0
2022-09-19 11:24:36,-61,605,3891.0,3891.5,3891.0,3891.5
2022-09-19 11:24:38,-30,101,3891.0,3891.0,3890.75,3890.75
2022-09-19 11:24:40,-23,124,3890.5,3890.5,3890.5,3890.5
2022-09-19 11:24:42,7,44,3890.5,3890.75,3890.5,3890.75
2022-09-19 11:24:44,0,38,3891.0,3891.0,3891.0,3891.0
2022-09-19 11:24:46,-22,104,3891.0,3891.0,3890.75,3890.75
2022-09-19 11:24:48,-61,260,3891.0,3891.25,3891.0,3891.25
2022-09-19 11:24:50,-358,608,3890.75,3890.75,3890.0,3890.0
2022-09-19 11:24:52,-441,2539,3889.75,3889.75,3889.5,3889.5
2022-09-19 11:24:54,0,333,3889.5,3889.5,3889.5,3889.5
2022-09-19 11:24:56,46,356,3889.75,3889.75,3889.75,3889.75
2022-09-19 11:24:58,-15,397,3889.5,3890.0,3889.5,3890.0
2022-09-19 11:25:00,-40,330,3889.75,3889.75,3889.25,3889.25
2022-09-19 11:25:02,-13,233,3889.5,3889.75,3889.5,3889.75
2022-09-19 11:25:04,56,180,3889.75,3889.75,3889.75,3889.75
2022-09-19 11:25:06,-33,154,3889.5,3890.0,3889.5,3890.0
2022-09-19 11:25:08,-10,33,3890.0,3890.0,3889.75,3889.75
2022-09-19 11:25:10,-2,189,3889.75,3890.0,3889.75,3890.0
2022-09-19 11:25:12,-129,506,3889.5,3889.5,3889.0,3889.0
2022-09-19 11:25:14,-13,170,3888.75,3889.0,3888.75,3889.0
2022-09-19 11:25:16,-9,348,3888.75,3888.75,3888.5,3888.5
2022-09-19 11:25:18,-42,392,3888.25,3888.25,3888.25,3888.25
2022-09-19 11:25:20,4,99,3888.0,3888.5,3888.0,3888.5
2022-09-19 11:25:22,19,268,3888.5,3888.5,3888.5,3888.5
2022-09-19 11:25:24,-9,148,3888.5,3888.5,3888.5,3888.5
2022-09-19 11:25:26,1,85,3888.75,3888.75,3888.75,3888.75
2022-09-19 11:25:28,85,366,3889.0,3890.0,3889.0,3890.0
2022-09-19 11:25:30,-41,728,3891.0,3891.0,3890.75,3890.75
2022-09-19 11:25:32,15,178,3890.25,3890.5,3890.25,3890.5
2022-09-19 11:25:34,-22,136,3890.5,3890.75,3890.5,3890.75
2022-09-19 11:25:36,3,140,3890.75,3890.75,3890.75,3890.75
2022-09-19 11:25:38,70,203,3891.0,3891.25,3891.0,3891.25
2022-09-19 11:25:40,-61,300,3891.25,3891.25,3891.0,3891.0
2022-09-19 11:25:42,-27,180,3890.75,3890.75,3890.5,3890.5
2022-09-19 11:25:44,-20,121,3890.25,3890.25,3890.25,3890.25
2022-09-19 11:25:46,1,85,3890.5,3890.5,3890.5,3890.5
2022-09-19 11:25:48,2,151,3890.25,3890.25,3890.25,3890.25
2022-09-19 11:25:50,2,71,3890.25,3890.25,3890.25,3890.25
2022-09-19 11:25:52,34,79,3890.5,3890.5,3890.5,3890.5
2022-09-19 11:25:54,-61,202,3890.25,3890.25,3890.0,3890.0
2022-09-19 11:25:56,-8,57,3889.0,3889.25,3889.0,3889.25
2022-09-19 11:25:58,-20,104,3889.25,3889.25,3889.25,3889.25
2022-09-19 11:26:00,-83,523,3888.75,3888.75,3888.5,3888.5
2022-09-19 11:26:02,0,176,3888.75,3889.0,3888.75,3889.0
2022-09-19 11:26:04,-5,52,3888.75,3888.75,3888.5,3888.5
2022-09-19 11:26:06,-47,278,3888.5,3888.5,3888.25,3888.25
2022-09-19 11:26:08,-258,639,3888.0,3888.0,3888.0,3888.0
2022-09-19 11:26:10,-8,75,3888.25,3888.25,3888.0,3888.0
2022-09-19 11:26:12,-32,152,3888.0,3888.0,3887.5,3887.5
2022-09-19 11:26:14,6,95,3888.0,3888.0,3888.0,3888.0
2022-09-19 11:26:16,59,262,3888.25,3888.75,3888.25,3888.75
2022-09-19 11:26:18,-1,246,3888.5,3888.5,3888.5,3888.5
2022-09-19 11:26:20,-11,70,3888.25,3888.25,3888.25,3888.25
2022-09-19 11:26:22,-1,7,3888.0,3888.25,3888.0,3888.25
2022-09-19 11:26:24,-41,139,3888.25,3888.25,3888.0,3888.0
2022-09-19 11:26:26,-313,697,3888.0,3888.0,3888.0,3888.0
2022-09-19 11:26:28,16,54,3887.5,3887.5,3887.5,3887.5
2022-09-19 11:26:30,-39,237,3887.5,3887.5,3887.25,3887.25
2022-09-19 11:26:32,9,98,3887.0,3887.0,3887.0,3887.0
2022-09-19 11:26:34,-27,207,3887.25,3887.25,3886.75,3886.75
2022-09-19 11:26:36,10,295,3887.0,3887.5,3887.0,3887.5
2022-09-19 11:26:38,4,174,3887.25,3887.25,3886.75,3886.75
2022-09-19 11:26:40,-8,101,3887.0,3887.0,3886.75,3886.75
2022-09-19 11:26:42,7,181,3886.75,3887.0,3886.75,3887.0
2022-09-19 11:26:44,36,176,3887.25,3887.25,3887.25,3887.25
2022-09-19 11:26:46,46,124,3887.25,3887.5,3887.25,3887.5
2022-09-19 11:26:48,3,392,3887.5,3887.75,3887.5,3887.75
2022-09-19 11:26:50,10,78,3887.5,3887.75,3887.5,3887.75
2022-09-19 11:26:52,19,64,3887.75,3887.75,3887.75,3887.75
2022-09-19 11:26:54,14,47,3887.75,3887.75,3887.75,3887.75
2022-09-19 11:26:56,-57,175,3887.75,3887.75,3887.5,3887.5
2022-09-19 11:26:58,7,91,3887.25,3887.5,3887.25,3887.5
2022-09-19 11:27:00,11,370,3887.25,3887.25,3887.0,3887.0
2022-09-19 11:27:02,-6,78,3887.25,3887.25,3887.25,3887.25
2022-09-19 11:27:04,11,94,3887.25,3887.25,3887.25,3887.25
2022-09-19 11:27:06,37,220,3887.25,3887.5,3887.25,3887.5
2022-09-19 11:27:08,13,64,3887.25,3887.5,3887.25,3887.5
2022-09-19 11:27:10,0,121,3887.5,3887.5,3887.5,3887.5
2022-09-19 11:27:12,17,116,3887.75,3887.75,3887.75,3887.75
2022-09-19 11:27:14,-43,109,3887.75,3887.75,3887.5,3887.5
2022-09-19 11:27:16,-37,122,3887.25,3887.25,3887.0,3887.0
2022-09-19 11:27:18,-56,135,3887.0,3887.0,3886.5,3886.5
2022-09-19 11:27:20,-41,245,3886.5,3886.5,3886.25,3886.25
2022-09-19 11:27:22,26,209,3887.0,3887.0,3886.75,3886.75
2022-09-19 11:27:24,35,99,3886.5,3886.5,3886.5,3886.5
2022-09-19 11:27:26,-16,89,3886.75,3886.75,3886.75,3886.75
2022-09-19 11:27:28,6,116,3887.0,3887.0,3886.75,3886.75
2022-09-19 11:27:30,8,73,3886.5,3886.75,3886.5,3886.75
2022-09-19 11:27:32,23,64,3887.0,3887.0,3887.0,3887.0
2022-09-19 11:27:34,28,164,3887.25,3887.25,3887.25,3887.25
2022-09-19 11:27:36,-102,126,3887.25,3887.25,3886.75,3886.75
2022-09-19 11:27:38,-40,175,3886.5,3886.75,3886.5,3886.75
2022-09-19 11:27:40,-10,134,3886.5,3886.5,3886.25,3886.25
2022-09-19 11:27:42,-18,38,3886.25,3886.25,3886.25,3886.25
2022-09-19 11:27:44,-13,305,3886.25,3886.25,3886.0,3886.0
2022-09-19 11:27:46,10,116,3886.0,3886.25,3886.0,3886.25
2022-09-19 11:27:48,-19,41,3886.25,3886.25,3886.25,3886.25
2022-09-19 11:27:50,-1,102,3886.25,3886.25,3886.25,3886.25
2022-09-19 11:27:52,1,52,3886.0,3886.0,3886.0,3886.0
2022-09-19 11:27:54,-8,251,3886.0,3886.25,3886.0,3886.25
2022-09-19 11:27:56,-2,61,3886.25,3886.25,3886.25,3886.25
